Parameters,Random ,Plant Height (PH),Number of Pods (NP),Biological Weight (BW),Sugars (Su),Relative Water Content in Leaves (RWCL),ChlorophyllA663,Chlorophyllb649,Protein Percentage (PPE),Weight of 300 Seeds (W3S),Leaf Area Index (LAI),Seed Yield per Unit Area (SYUA),Number of Seeds per Pod (NSP),Protein Content (PCO)
C1S1G1,R3,49.5,141.0,67.0,0.161,0.688,1.2,3.1,34.8,51.5,0.06,6365.7,2.08,0.16
C1S2G3,R2,42.0,156.3,213.0,0.695,0.85,9.1,1.2,38.5,29.3,0.06,4636.8,2.2,0.3
C2S1G3,R1,53.2,129.0,73.0,0.989,0.673,1.6,3.1,33.0,30.3,0.07,2334.2,1.88,0.78
C1S3G5,R3,52.1,158.0,204.0,0.521,0.669,1.5,3.0,37.6,33.2,0.08,6775.6,1.88,0.6
C2S1G6,R3,49.2,148.0,83.0,0.46,0.626,1.4,1.2,32.1,32.2,0.07,4234.5,2.2,0.14
C2S3G3,R2,49.0,127.5,126.0,0.314,0.621,10.2,2.2,37.6,35.4,0.03,5103.9,2.4,0.42
C1S1G2,R3,50.0,137.7,225.0,0.512,0.739,1.9,3.1,39.1,36.3,0.08,4998.7,1.84,0.42
C2S1G6,R1,52.2,150.0,83.0,0.49,0.677,1.8,1.3,33.6,35.2,0.07,4326.7,2.04,0.15
C2S1G1,R1,48.3,152.0,78.0,0.344,0.722,1.4,2.1,36.6,33.2,0.09,4357.7,1.4,0.7
C1S2G3,R1,43.0,155.3,211.0,0.645,0.834,8.9,1.6,33.8,30.2,0.09,4549.4,1.84,0.34
C2S1G4,R2,52.8,143.0,138.0,0.463,0.706,1.7,2.8,33.5,36.1,0.09,5990.3,2.4,0.6
C2S1G3,R3,51.2,154.0,181.0,0.55,0.447,4.1,1.2,36.2,34.4,0.09,5495.6,1.9,0.6
C2S1G6,R1,52.2,150.0,83.0,0.49,0.677,1.8,1.3,33.6,35.2,0.07,4326.7,2.04,0.15
C2S3G2,R2,55.3,145.0,88.0,0.165,0.601,8.5,2.3,36.2,33.2,0.1,3185.4,1.82,0.32
C1S1G2,R1,52.4,136.0,223.0,0.523,0.713,1.9,3.3,38.2,38.1,0.07,5216.2,2.06,0.5
C1S3G1,R2,54.3,159.0,102.0,0.613,0.71,9.2,2.1,39.1,29.9,0.06,5803.1,2.6,0.3
C2S2G6,R1,51.4,134.0,60.0,0.235,0.615,4.0,1.9,38.1,42.2,0.05,4013.4,2.2,0.36
C2S1G2,R3,52.2,147.0,122.0,0.553,0.622,2.2,3.0,33.8,32.2,0.06,4486.7,1.9,0.7
C2S1G5,R3,50.4,147.8,150.0,0.989,0.662,5.2,1.2,34.8,35.3,0.09,3356.6,1.88,1.7
